Interval=	0,01 s
ExcelDateTime=	4,1795673598807873e+004	05.06.2014 16:09:58,937
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1
Range=	20,000 mV
14,58	-3,736
14,59	-3,728
14,6	-3,723
14,61	-3,721
14,62	-3,720
14,63	-3,719
14,64	-3,718
14,65	-3,716
14,66	-3,712
14,67	-3,707
14,68	-3,701
14,69	-3,694
14,7	-3,688
14,71	-3,680
14,72	-3,671
14,73	-3,663
14,74	-3,654
14,75	-3,646
14,76	-3,636
14,77	-3,626
14,78	-3,614
14,79	-3,603
14,8	-3,591
14,81	-3,578
14,82	-3,564
14,83	-3,550
14,84	-3,536
14,85	-3,521
14,86	-3,503
14,87	-3,485
14,88	-3,466
14,89	-3,449
14,9	-3,436
14,91	-3,421
14,92	-3,402
14,93	-3,379
14,94	-3,359
14,95	-3,344
14,96	-3,328
14,97	-3,315
14,98	-3,304
14,99	-3,289
15,0	-3,273
15,01	-3,259
15,02	-3,251
15,03	-3,249
15,04	-3,251
15,05	-3,255
15,06	-3,261
15,07	-3,266
15,08	-3,271
15,09	-3,275
15,1	-3,279
15,11	-3,283
15,12	-3,287
15,13	-3,289
15,14	-3,287
15,15	-3,284
15,16	-3,280
15,17	-3,277
15,18	-3,273
15,19	-3,268
15,2	-3,261
15,21	-3,254
15,22	-3,246
15,23	-3,234
15,24	-3,220
15,25	-3,209
15,26	-3,196
15,27	-3,178
15,28	-3,161
15,29	-3,146
15,3	-3,129
15,31	-3,111
15,32	-3,093
15,33	-3,075
15,34	-3,057
15,35	-3,039
15,36	-3,022
15,37	-3,005
15,38	-2,988
